director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,language
steve antin,peter gallagher,drama|music|musical|romance,eric dane,burlesque,david walton,english
jean-pierre jeunet,andré dussollier,drama|mystery|romance|war,denis lavant,a very long engagement,albert dupontel,french
stanley kubrick,shelley winters,crime|drama|romance,james mason,lolita,lois maxwell,english
jim gillespie,tom berenger,crime|horror|mystery|thriller,sylvester stallone,eye see you,charles s. dutton,english
guillermo del toro,thomas kretschmann,action|horror|sci-fi|thriller,norman reedus,blade ii,tony curran,english
gabriele muccino,rosario dawson,drama|romance,will smith,seven pounds,madison pettis,english
walter hill,jason momoa,action|thriller,sylvester stallone,bullet to the head,jon seda,english
francis ford coppola,joe mantegna,crime|drama,al pacino,the godfather: part iii,bridget fonda,english
cameron crowe,kirsten dunst,comedy|drama|romance,orlando bloom,elizabethtown,judy greer,english
anthony russo,billy gardell,comedy|romance,todd stashwick,"you, me and dupree",amanda detmer,english
richard lester,ned beatty,action|adventure|romance|sci-fi,margot kidder,superman ii,jackie cooper,english
martin brest,lenny venito,comedy|crime|romance,todd giebenhain,gigli,david backus,english
steven zaillian,anthony hopkins,drama|thriller,kate winslet,all the king's men,kevin dunn,english
john singleton,vanessa williams,action|crime|thriller,christian bale,shaft,daniel von bargen,english
don bluth,kelsey grammer,adventure|animation|drama|family|fantasy|musical|mystery|romance,kirsten dunst,anastasia,bernadette peters,english
baz luhrmann,kylie minogue,drama|musical|romance,jim broadbent,moulin rouge!,richard roxburgh,english
harold becker,teri polo,crime|mystery|thriller,steve buscemi,domestic disturbance,matt o'leary,english
scott cooper,benedict cumberbatch,biography|crime|drama,johnny depp,black mass,adam scott,english
clint eastwood,chris bauer,drama|history|war,paul walker,flags of our fathers,tom mccarthy,english
f. gary gray,leslie bibb,crime|drama|thriller,gerard butler,law abiding citizen,michael kelly,english
robert rodriguez,rosario dawson,action|horror|thriller,quentin tarantino,grindhouse,zoë bell,english
jonathan demme,kimberly elise,drama|history|horror,oprah winfrey,beloved,hill harper,english
curtis hanson,robert duvall,drama|romance|sport,robert downey jr.,lucky you,kelvin han yee,english
steven spielberg,tom hanks,biography|crime|drama,leonardo dicaprio,catch me if you can,jennifer garner,english
kathryn bigelow,harold perrineau,drama|history|thriller,jennifer ehle,zero dark thirty,parker sawyers,english
peyton reed,john michael higgins,comedy|drama|romance,jon favreau,the break-up,ann-margret,english
phyllida lloyd,meryl streep,comedy|family|musical|romance,colin firth,mamma mia!,julie walters,english
garry marshall,taylor lautner,comedy|romance,bradley cooper,valentine's day,anne hathaway,english
jay chandrasekhar,jessica simpson,action|adventure|comedy,alice greczyn,the dukes of hazzard,michael weston,english
terrence malick,miranda otto,drama|war,nick stahl,the thin red line,dash mihok,english
david dobkin,olivia wilde,comedy|fantasy,ryan reynolds,the change-up,mircea monroe,english
milos forman,gerry becker,biography|comedy|drama,matt price,man on the moon,tom dreesen,english
martin scorsese,don rickles,biography|crime|drama,robert de niro,casino,kevin pollak,english
pierre morel,amber rose revah,action|thriller,kasia smutniak,from paris with love,rebecca dayan,english
paul hunter,mako,action|comedy|fantasy,jaime king,bulletproof monk,victoria smurfit,english
bobby farrelly,tony cox,comedy,robert forster,"me, myself & irene",rob moran,english
steve oedekerk,wanda sykes,animation|comedy|family,rob paulsen,barnyard,maurice lamarche,english
john whitesell,jorge garcia,comedy|family,matthew broderick,deck the halls,alia shawkat,english
chris weitz,kristen stewart,adventure|drama|fantasy|romance,robert pattinson,the twilight saga: new moon,taylor lautner,english
andrew adamson,chris miller,adventure|animation|comedy|family|fantasy,kathleen freeman,shrek,bobby block,english
george nolfi,michael kelly,romance|sci-fi|thriller,matt damon,the adjustment bureau,jon stewart,english
kevin reynolds,morgan freeman,action|adventure|drama|romance,alan rickman,robin hood: prince of thieves,michael wincott,english
cameron crowe,kelly preston,comedy|drama|romance|sport,tom cruise,jerry maguire,bonnie hunt,english
seth macfarlane,seth macfarlane,comedy|fantasy,mila kunis,ted,tom skerritt,english
james l. brooks,yeardley smith,comedy|drama|romance,lupe ontiveros,as good as it gets,shirley knight,english
tom shadyac,philip seymour hoffman,biography|comedy|drama|romance,robin williams,patch adams,monica potter,english
adam mckay,will ferrell,comedy,harrison ford,anchorman 2: the legend continues,steve carell,english
steven brill,adam sandler,comedy|romance,steve buscemi,mr. deeds,peter gallagher,english
j.j. abrams,aj michalka,mystery|sci-fi|thriller,joel courtney,super 8,zach mills,english
steven soderbergh,albert finney,biography|drama,julia roberts,erin brockovich,conchata ferrell,english
donald petrie,adam goldberg,comedy|romance,matthew mcconaughey,how to lose a guy in 10 days,thomas lennon,english
phil lord,craig roberts,action|comedy|crime,channing tatum,22 jump street,amber stevens west,english
neil jordan,tom cruise,drama|fantasy|horror,brad pitt,interview with the vampire: the vampire chronicles,kirsten dunst,english
peyton reed,zooey deschanel,comedy|romance,bradley cooper,yes man,danny masterson,english
rawson marshall thurber,thomas kretschmann,action|comedy|crime,dwayne johnson,central intelligence,megan park,english
chris columbus,liam aiken,comedy|drama,julia roberts,stepmom,herbert russell,english
sean anders,linda cardellini,comedy|family,will ferrell,daddy's home,mark l. young,english
rob marshall,meryl streep,adventure|comedy|drama|fantasy|musical,johnny depp,into the woods,anna kendrick,english
spike lee,james ransone,crime|drama|mystery|thriller,denzel washington,inside man,peter gerety,english
brian helgeland,deborah kara unger,action|crime|drama|thriller,bill duke,payback,william devane,english
frank marshall,joe don baker,action|adventure|mystery|sci-fi,dylan walsh,congo,grant heslov,english
cameron crowe,matt damon,comedy|drama|family,scarlett johansson,we bought a zoo,stephanie szostak,english
alex proyas,ben mendelsohn,drama|mystery|sci-fi|thriller,nicolas cage,knowing,chandler canterbury,english
tom dey,matthew mcconaughey,comedy|romance,bradley cooper,failure to launch,zooey deschanel,english
hideo nakata,gary cole,horror|mystery,naomi watts,the ring two,sissy spacek,english
glenn ficarra,emma stone,comedy|drama|romance,ryan gosling,"crazy, stupid, love.",steve carell,english
peter hewitt,mark christopher lawrence,animation|comedy|family|fantasy,bill murray,garfield,michael monks,english
joe roth,cheech marin,comedy|family,jamie lee curtis,christmas with the kranks,jake busey,english
bennett miller,robin wright,biography|drama|sport,philip seymour hoffman,moneyball,brad pitt,english
wolfgang petersen,morgan freeman,action|drama|thriller,kevin spacey,outbreak,rene russo,english
jaume collet-serra,nate parker,action|mystery|thriller,liam neeson,non-stop,scoot mcnairy,english
andy fickman,billy brown,action|adventure|family|fantasy|sci-fi|thriller,dwayne johnson,race to witch mountain,tom everett scott,english
james mcteigue,eddie marsan,action|drama|thriller,natalie portman,v for vendetta,rupert graves,english
david dobkin,anna-louise plowman,action|adventure|comedy,fann wong,shanghai knights,georgina chapman,english
,gemma jones,crime|drama,bernard hill,unforgotten,nicola walker,english
matthew o'callaghan,frank welker,adventure|animation|comedy|family,will ferrell,curious george,alexander gould,english
angela robinson,thomas lennon,adventure|comedy|family|fantasy|romance|sport,scoot mcnairy,herbie fully loaded,cheryl hines,english
gary fleder,jennifer esposito,crime|drama|mystery|thriller,oliver platt,don't say a word,conrad goode,english
tommy wirkola,derek mears,action|fantasy|horror,jeremy renner,hansel & gretel: witch hunters,ingrid bolsø berdal,english
adrian lyne,erik per sullivan,drama|thriller,olivier martinez,unfaithful,chad lowe,english
d.j. caruso,emily wickersham,action|adventure|sci-fi|thriller,alex pettyfer,i am number four,reuben langdon,english
stephen gaghan,amr waked,drama|thriller,matt damon,syriana,kayvan novak,english
michael bay,james badge dale,action|drama|thriller|war,toby stephens,13 hours,david costabile,english
jorge r. gutiérrez,hector elizondo,adventure|animation|comedy|family|fantasy|romance,channing tatum,the book of life,ana de la reguera,english
richard loncraine,harrison ford,crime|thriller,jimmy bennett,firewall,mary lynn rajskub,english
clint eastwood,mark margolis,action|crime|drama|thriller,clint eastwood,absolute power,scott glenn,english
ridley scott,demi moore,action|drama|war,viggo mortensen,g.i. jane,john michael higgins,english
david fincher,armin mueller-stahl,drama|mystery|thriller,deborah kara unger,the game,charles martinet,english
christophe gans,deborah kara unger,adventure|horror|mystery,radha mitchell,silent hill,alice krige,english
howard deutch,jon favreau,comedy|sport,keanu reeves,the replacements,faizon love,english
jon hurwitz,dania ramirez,comedy,alyson hannigan,american reunion,natasha lyonne,english
f. gary gray,michael cudlitz,action|crime|drama|mystery|thriller,kevin spacey,the negotiator,siobhan fallon hogan,english
steven quale,alycia debnam-carey,action|thriller,matt walsh,into the storm,scott lawrence,english
john landis,jon tenney,action|comedy|crime|thriller,louis lombardi,beverly hills cop iii,gilbert r. hill,english
joe dante,robert picardo,comedy|fantasy|horror,christopher lee,gremlins 2: the new batch,phoebe cates,english
david dobkin,robert duvall,crime|drama,robert downey jr.,the judge,leighton meester,english
mimi leder,holt mccallany,action|thriller,armin mueller-stahl,the peacemaker,marcel iures,english
alexander witt,thomas kretschmann,action|horror|sci-fi|thriller,milla jovovich,resident evil: apocalypse,mike epps,english
beeban kidron,jim broadbent,comedy|drama|romance,colin firth,bridget jones: the edge of reason,celia imrie,english
carl franklin,sanaa lathan,crime|drama|romance|thriller,denzel washington,out of time,john billingsley,english
steven seagal,joan chen,action|adventure|thriller,mike starr,on deadly ground,sven-ole thorsen,english
robert rodriguez,kristin davis,action|adventure|family|fantasy,taylor lautner,the adventures of sharkboy and lavagirl 3-d,taylor dooley,english
danny boyle,virginie ledoyen,adventure|drama|thriller,leonardo dicaprio,the beach,peter youngblood hills,english
garry marshall,felicity huffman,comedy|drama|romance,amber valletta,raising helen,spencer breslin,english
james mcteigue,ben miles,action|crime|thriller,shô kosugi,ninja assassin,rain,english
sam raimi,kelly preston,drama|romance|sport,j.k. simmons,for love of the game,carmine giovinazzo,english
,bruce alexander,crime|drama|mystery,david jason,a touch of frost,john lyons,english
andrew bergman,rumer willis,comedy|crime|drama|thriller,demi moore,striptease,paul guilfoyle,english
tom dey,judy greer,comedy|family,emma stone,marmaduke,steve coogan,english
clint eastwood,jay mohr,drama|fantasy,matt damon,hereafter,cécile de france,english
barbet schroeder,chris penn,crime|mystery|thriller,ryan gosling,murder by numbers,agnes bruckner,english
richard donner,sylvester stallone,action|crime|thriller,muse watson,assassins,kelly rowan,english
peter webber,stephen walters,crime|drama|thriller,li gong,hannibal rising,richard brake,english
rob reiner,tim matheson,comedy|drama|romance,bruce willis,the story of us,rita wilson,english
andrew niccol,chandler canterbury,action|adventure|romance|sci-fi|thriller,j.d. evermore,the host,rachel roberts,english
john mctiernan,harry connick jr.,action|crime|drama|mystery|thriller,connie nielsen,basic,tim daly,english
clint eastwood,anjelica huston,action|crime|drama|mystery|thriller,clint eastwood,blood work,rick hoffman,english
tom tykwer,brían f. o'byrne,action|crime|drama|mystery|thriller,naomi watts,the international,armin mueller-stahl,english
john carpenter,valeria golino,action|adventure|sci-fi|thriller,steve buscemi,escape from l.a.,michelle forbes,english
,brittany curran,drama|mystery|thriller,grey damon,twisted,aaron hill,english
brad bird,harry connick jr.,action|adventure|animation|comedy|drama|family|sci-fi,vin diesel,the iron giant,m. emmet walsh,english
wes anderson,anjelica huston,adventure|comedy|drama,bill murray,the life aquatic with steve zissou,matthew gray gubler,english
gary ross,donald watkins,action|biography|drama|history|war,matthew mcconaughey,free state of jones,jessica collins,english
alan parker,kate winslet,crime|drama|thriller,kevin spacey,the life of david gale,matt craven,english
stephen herek,vanessa ferlito,action|comedy,christina milian,man of the house,kelli garner,english
jaume collet-serra,common,action|crime|drama|thriller,liam neeson,run all night,bruce mcgill,english
david cronenberg,naomi watts,crime|mystery|thriller,viggo mortensen,eastern promises,raza jaffrey,english
john stockwell,james frain,action|adventure|crime|thriller,paul walker,into the blue,ashley scott,english
luc besson,david bailie,adventure|biography|drama|history|war,paul brooke,the messenger: the story of joan of arc,rab affleck,english
david gordon green,zooey deschanel,adventure|comedy|fantasy,natalie portman,your highness,james franco,english
jim sheridan,gregory smith,drama|mystery|thriller,naomi watts,dream house,sarah gadon,english
costa-gavras,blythe danner,crime|drama|thriller,mia kirshner,mad city,william atherton,english
patrick read johnson,lara flynn boyle,adventure|comedy|crime|drama|family,joe mantegna,baby's day out,cynthia nixon,english
roland joffé,robert duvall,drama|romance,gary oldman,the scarlet letter,demi moore,english
doug liman,ty burrell,biography|drama|thriller,naomi watts,fair game,brooke smith,english
,tony curran,action|drama|sci-fi,julie benz,defiance,grant bowler,english
tony scott,mo'nique,action|biography|crime|drama|thriller,ian ziering,domino,edgar ramírez,english
william friedkin,chazz palminteri,crime|drama|thriller,michael biehn,jade,linda fiorentino,english
mark neveldine,logan lerman,action|sci-fi|thriller,gerard butler,gamer,alison lohman,english
richard lagravenese,zoey deutch,drama|fantasy|romance,alden ehrenreich,beautiful creatures,pruitt taylor vince,english
danny devito,vincent schiavelli,comedy|crime|drama|thriller,robin williams,death to smoochy,danny woodburn,english
ben stiller,will ferrell,comedy,milla jovovich,zoolander 2,justin theroux,english
george armitage,andrew wilson,comedy|crime,morgan freeman,the big bounce,willie nelson,english
mike nichols,linda fiorentino,comedy|sci-fi,judy greer,what planet are you from?,garry shandling,english
patrick lussier,billy burke,action|fantasy|thriller,nicolas cage,drive angry,katy mixon,english
andrzej bartkowiak,robin shou,action|crime|drama|mystery|thriller,chris klein,street fighter: the legend of chun-li,josie ho,english
james wong,jet li,action|sci-fi|thriller,jason statham,the one,delroy lindo,english
,graham mctavish,drama|romance|sci-fi,tobias menzies,outlander,stephen walters,english
renny harlin,gilbert gottfried,action|adventure|comedy|crime|music|mystery,lauren holly,the adventures of ford fairlane,david patrick kelly,english
richard curtis,charlie rowe,comedy|drama|music,philip seymour hoffman,pirate radio,tom sturridge,english
steven soderbergh,jacob vargas,crime|drama|thriller,michael o'neill,traffic,james lew,english
steven spielberg,julian glover,action|adventure|fantasy,harrison ford,indiana jones and the last crusade,alison doody,english
joe wright,guro nagelhus schia,drama|romance,kelly macdonald,anna karenina,matthew macfadyen,english
neill blomkamp,sharlto copley,action|crime|drama|sci-fi|thriller,hugh jackman,chappie,jose pablo cantillo,english
phillip noyce,angelina jolie pitt,crime|drama|mystery|thriller,denzel washington,the bone collector,leland orser,english
david fincher,dwight yoakam,crime|drama|thriller,kristen stewart,panic room,mel rodriguez,english
chuck bowman,lochlyn munro,horror|thriller,p.j. soles,the tooth fairy,steve bacic,english
david o. russell,jamie kennedy,action|adventure|comedy|drama|war,judy greer,three kings,mykelti williamson,english
daniel espinosa,fares fares,crime|drama|thriller,tom hardy,child 44,michael nardone,english
jerry zucker,douglas haase,adventure|comedy,corinna harney,rat race,vince vieluf,english
iain softley,jeff bridges,drama|mystery|sci-fi,kevin spacey,k-pax,alfre woodard,english
james mangold,natasha lyonne,comedy|fantasy|romance,hugh jackman,kate & leopold,bradley whitford,english
harold ramis,frances o'connor,comedy|fantasy|romance,brendan fraser,bedazzled,brian doyle-murray,english
francis ford coppola,bob hoskins,crime|drama|music,nicolas cage,the cotton club,fred gwynne,english
james mangold,logan lerman,adventure|crime|drama|western,christian bale,3:10 to yuma,gretchen mol,english
olivier megaton,dougray scott,action|thriller,liam neeson,taken 3,jon gries,english
steven soderbergh,albert brooks,crime|drama|romance|thriller,don cheadle,out of sight,keith hudson,english
ben stiller,janeane garofalo,comedy|drama|thriller,matthew broderick,the cable guy,andy dick,english
deepa mehta,gulshan grover,drama|romance|war,nandita das,earth,eric peterson,hindi
warren beatty,warren beatty,action|comedy|crime|music|romance|thriller,charlie korsmo,dick tracy,seymour cassel,english
john mctiernan,faye dunaway,crime|romance|thriller,mark margolis,the thomas crown affair,denis leary,english
penny marshall,adam garcia,biography|comedy|drama,rosie perez,riding in cars with boys,alissa dean,english
ted kotcheff,brian dennehy,action|adventure|drama,sylvester stallone,first blood,chris mulkey,english
andrei tarkovsky,anatoliy solonitsyn,drama|mystery|sci-fi,donatas banionis,solaris,natalya bondarchuk,russian
paul bolger,george carlin,adventure|animation|comedy|family|fantasy,sarah michelle gellar,happily n'ever after,rob paulsen,english
stephen frears,bronagh gallagher,drama|horror|romance|thriller,julia roberts,mary reilly,george cole,english
p.j. hogan,christopher masterson,comedy|romance,julia roberts,my best friend's wedding,rupert everett,english
joe roth,rainn wilson,comedy|romance,julia roberts,america's sweethearts,larry king,english
christopher nolan,maura tierney,drama|mystery|thriller,al pacino,insomnia,crystal lowe,english
jonathan frakes,alfre woodard,action|adventure|drama|sci-fi|thriller,levar burton,star trek: first contact,jonathan frakes,english
jimmy hayward,billy blair,action|drama|fantasy|thriller|western,michael fassbender,jonah hex,julia jones,english
edward zwick,matt damon,action|drama|mystery|thriller|war,denzel washington,courage under fire,scott glenn,english
tom shadyac,swoosie kurtz,comedy|fantasy|romance,maura tierney,liar liar,randall 'tex' cobb,english
brad furman,amy ryan,biography|crime|drama|thriller,joseph gilgun,the infiltrator,olympia dukakis,english
terence young,ben gazzara,drama|history|war,laurence olivier,inchon,jacqueline bisset,english
brian levant,elizabeth perkins,comedy|family|fantasy,jonathan winters,the flintstones,harvey korman,english
olivier megaton,luke grimes,action|crime|thriller,liam neeson,taken 2,d.b. sweeney,english
david zucker,pamela anderson,comedy,regina hall,scary movie 3,jenny mccarthy,english
donald petrie,wendy raquel robinson,action|comedy|crime|romance,candice bergen,miss congeniality,heather burns,english
eric brevig,brendan fraser,action|adventure|family|fantasy|sci-fi,josh hutcherson,journey to the center of the earth,anita briem,english
garry marshall,raven-symoné,comedy|family|romance,anne hathaway,the princess diaries 2: royal engagement,hector elizondo,english
alan j. pakula,julia roberts,crime|drama|mystery|thriller,denzel washington,the pelican brief,tony goldwyn,english
joel schumacher,anthony lapaglia,crime|drama|mystery|thriller,bradley whitford,the client,brad renfro,english
rob reiner,noel gugliemi,adventure|comedy|drama,morgan freeman,the bucket list,sean hayes,english
phillip noyce,polly walker,action|thriller,harrison ford,patriot games,patrick bergin,english
robert luketic,jane fonda,comedy|romance,adam scott,monster-in-law,elaine stritch,english
denis villeneuve,jake gyllenhaal,crime|drama|mystery|thriller,hugh jackman,prisoners,dylan minnette,english
antoine fuqua,snoop dogg,crime|drama|thriller,denzel washington,training day,tom berenger,english
dean parisot,enrico colantoni,adventure|comedy|sci-fi,alan rickman,galaxy quest,robin sachs,english
keenen ivory wayans,veronica cartwright,comedy,natasha lyonne,scary movie 2,andy richter,english
james bobin,eric jacobson,adventure|comedy|family|musical,bill cobbs,the muppets,steve whitmire,english
stephen norrington,traci lords,action|horror,sanaa lathan,blade,udo kier,english
thomas carter,rick gonzalez,drama|sport,channing tatum,coach carter,robert ri'chard,english
roger michell,matt malloy,drama|thriller,sydney pollack,changing lanes,bruce altman,english
luis llosa,eric stoltz,action|adventure|horror|thriller,frank welker,anaconda,kari wuhrer,english
david mcnally,tyra banks,comedy|drama|music|romance,adam garcia,coyote ugly,izabella miko,english
richard curtis,liam neeson,comedy|drama|romance,colin firth,love actually,kris marshall,english
john lasseter,madeline kahn,adventure|animation|comedy|family|fantasy,kevin spacey,a bug's life,john ratzenberger,english
albert hughes,jason flemyng,horror|mystery|thriller,johnny depp,from hell,ian richardson,english
luis llosa,rod steiger,action|crime|drama|romance|thriller,sylvester stallone,the specialist,emilio estefan jr.,english
ron shelton,cheech marin,comedy|drama|romance|sport,don johnson,tin cup,rene russo,english
melville shavelson,tom bosley,comedy|family,lucille ball,"yours, mine and ours",tim matheson,english
jesse dylan,will ferrell,comedy|family|romance|sport,josh hutcherson,kicking & screaming,robert duvall,english
garth jennings,kelly macdonald,adventure|comedy|sci-fi,zooey deschanel,the hitchhiker's guide to the galaxy,thomas lennon,english
joel zwick,nick zano,comedy|family|fantasy|romance,dania ramirez,fat albert,alice greczyn,english
russell mulcahy,mike epps,action|horror|sci-fi|thriller,milla jovovich,resident evil: extinction,james tumminia,english
frank coraci,adam sandler,comedy|romance,bella thorne,blended,joel mchale,english
wayne wang,alicia witt,adventure|comedy|drama,ll cool j,last holiday,timothy hutton,english
curtis hanson,glenn morshower,action|adventure|crime|thriller,meryl streep,the river wild,william lucking,english
frank oz,vincent kartheiser,drama|family|fantasy,steve coogan,the indian in the cupboard,david keith,english
oliver stone,shea whigham,crime|drama|thriller,demián bichir,savages,gary stretch,english
david r. ellis,valerie cruz,action|crime|thriller,richard burgi,cellular,will beinbrink,english
peter howitt,natalie imbruglia,action|adventure|comedy,kevin mcnally,johnny english,ben miller,english
john a. davis,meryl streep,adventure|animation|comedy|family|fantasy,nicolas cage,the ant bully,julia roberts,english
david lynch,jürgen prochnow,action|adventure|sci-fi,virginia madsen,dune,josé ferrer,english
julie taymor,t.v. carpio,drama|fantasy|musical|romance,jim sturgess,across the universe,robert clohessy,english
sam mendes,kate winslet,drama|romance,leonardo dicaprio,revolutionary road,joe komara,english
richard donner,david zayas,action|crime|drama|thriller,bruce willis,16 blocks,sasha roiz,english
mathieu kassovitz,charlotte rampling,action|adventure|sci-fi|thriller,vin diesel,babylon a.d.,david belle,english
john gray,bob gunton,action|comedy|crime|drama|thriller,alexa penavega,the glimmer man,keenen ivory wayans,english
harold ramis,brian doyle-murray,comedy|romance|sci-fi,john de lancie,multiplicity,obba babatundé,english
john schultz,carter jenkins,adventure|comedy|family|fantasy|sci-fi,malese jow,aliens in the attic,tim meadows,english
sean penn,adrien dorval,crime|drama|mystery|thriller,costas mandylor,the pledge,nels lennarson,english
susan stroman,will ferrell,comedy|musical,jon lovitz,the producers,matthew broderick,english
pete travis,jason cope,action|sci-fi,wood harris,dredd,rakie ayola,english
simon wincer,treat williams,action|adventure|comedy|fantasy,cary-hiroyuki tagawa,the phantom,kristy swanson,english
billy bob thornton,henry thomas,drama|romance|western,matt damon,all the pretty horses,sam shepard,english
oliver stone,bob hoskins,biography|drama|history,anthony hopkins,nixon,joan allen,english
roman polanski,olivia williams,mystery|thriller,jim belushi,the ghost writer,timothy hutton,english
stephen sommers,jason flemyng,action|adventure|horror|sci-fi,djimon hounsou,deep rising,wes studi,english
spike lee,omari hardwick,action|crime|drama|thriller|war,joseph gordon-levitt,miracle at st. anna,laz alonso,english
yimou zhang,ye liu,drama|romance,li gong,curse of the golden flower,man li,mandarin
danny pang,charlie yeung,action|crime|thriller,nicolas cage,bangkok dangerous,james with,english
barry sonnenfeld,janeane garofalo,comedy|crime|thriller,zooey deschanel,big trouble,omar epps,english
mike newell,giovanna mezzogiorno,drama|romance,marcela mar,love in the time of cholera,unax ugalde,english
,clotilde hesme,drama|fantasy|horror|mystery,pierre perrier,the returned,céline sallette,french
george p. cosmatos,ben gazzara,action|thriller,sam waterston,shadow conspiracy,nicholas turturro,english
oliver parker,tim mcinnerny,action|adventure|comedy|crime,daniel kaluuya,johnny english reborn,togo igawa,english
lawrence kasanoff,larry miller,action|animation|comedy|family|fantasy,jerry stiller,foodfight!,harvey fierstein,english
ben affleck,scoot mcnairy,biography|drama|history|thriller,clea duvall,argo,tate donovan,english
andrew davis,daniel roebuck,action|adventure|crime|drama|mystery|thriller,harrison ford,the fugitive,sela ward,english
andy tennant,dorian missick,action|comedy|romance,gerard butler,the bounty hunter,peter greene,english
barry levinson,brad pitt,crime|drama|thriller,robert de niro,sleepers,minnie driver,english
george p. cosmatos,julia nickson,action|adventure|thriller|war,sylvester stallone,rambo: first blood part ii,martin kove,english
brian gibson,demi moore,drama|thriller,joseph gordon-levitt,the juror,anne heche,english
norman ferguson,dickie jones,animation|family|fantasy|musical,mel blanc,pinocchio,cliff edwards,english
michael cimino,sam waterston,adventure|drama|western,jeff bridges,heaven's gate,isabelle huppert,english
len wiseman,tony curran,action|adventure|fantasy|sci-fi|thriller,sophia myles,underworld: evolution,derek jacobi,english
paul mcguigan,spencer wilding,drama|horror|sci-fi|thriller,daniel radcliffe,victor frankenstein,daniel mays,english
gus van sant,rob brown,drama,f. murray abraham,finding forrester,michael nouri,english
betty thomas,viggo mortensen,comedy|drama,steve buscemi,28 days,elizabeth perkins,english
louis leterrier,jet li,action|crime|drama|thriller,morgan freeman,unleashed,bob hoskins,english
roger kumble,lillian adams,comedy|romance,judith chapman,the sweetest thing,chelsea bond,english
sydney pollack,holly hunter,drama|mystery|thriller,tom cruise,the firm,wilford brimley,english
burr steers,charlie tahan,drama|fantasy|romance,augustus prew,charlie st. cloud,valerie tian,english
simon west,tony goldwyn,action|crime|thriller,jason statham,the mechanic,mini anden,english
phil lord,dax flame,action|comedy|crime,channing tatum,21 jump street,rob riggle,english
roger michell,clarke peters,comedy|drama|romance,julia roberts,notting hill,dylan moran,english
peter lord,miranda richardson,adventure|animation|comedy|drama|family,imelda staunton,chicken run,julia sawalha,english
john hamburg,masi oka,comedy|romance,philip seymour hoffman,along came polly,debra messing,english
reginald hudlin,eartha kitt,comedy|drama|romance,john witherspoon,boomerang,geoffrey holder,english
paul feig,william xifaras,action|comedy|crime,michael rapaport,the heat,demián bichir,english
joseph l. mankiewicz,richard burton,biography|drama|history|romance,martin landau,cleopatra,roddy mcdowall,english
frank coraci,reggie lee,action|comedy|sport,salma hayek,here comes the boom,charice,english
carl franklin,adam scott,crime|drama|mystery|thriller,morgan freeman,high crimes,bruce davison,english
barbra streisand,austin pendleton,comedy|drama|romance,jeff bridges,the mirror has two faces,mimi rogers,english
mark pellington,will patton,drama|horror|mystery|thriller,debra messing,the mothman prophecies,david eigenberg,english
larry charles,elton john,comedy,bono,brüno,slash,english
john glen,talisa soto,action|adventure|thriller,robert davi,licence to kill,anthony zerbe,english
catherine hardwicke,billy burke,fantasy|horror|mystery|thriller,gary oldman,red riding hood,virginia madsen,english
john herzfeld,charlize theron,action|crime|drama|thriller,robert de niro,15 minutes,kelsey grammer,english
annabel jankel,fisher stevens,adventure|comedy|family|fantasy|sci-fi,bob hoskins,super mario bros.,fiona shaw,english
andrew niccol,jeremy crutchley,crime|drama|thriller,nicolas cage,lord of war,jared burke,english
yimou zhang,tony chiu wai leung,action|adventure|history,jet li,hero,maggie cheung,mandarin
julie anne robinson,debbie reynolds,action|comedy|crime|romance|thriller,fisher stevens,one for the money,patrick fischler,english
evan goldberg,randall park,comedy,james franco,the interview,anders holm,english
sngmoo lee,dong-gun jang,action|fantasy|western,tony cox,the warrior's way,jed brophy,english
,gavin macleod,comedy|war,tim conway,mchale's navy,bob hastings,english
jean-pierre jeunet,dany boon,action|comedy|crime,omar sy,micmacs,andré dussollier,french
curtis hanson,omar benson miller,drama|music,mekhi phifer,8 mile,evan jones,english
jamel debbouze,youssef hajdi,adventure|animation|comedy|family,jamel debbouze,animal kingdom: let's go ape,mélissa theuriau,french
brian helgeland,rufus sewell,action|adventure|romance,heath ledger,a knight's tale,bérénice bejo,english
gordon chan,lee evans,action|comedy|fantasy,julian sands,the medallion,anthony chau-sang wong,english
m. night shyamalan,haley joel osment,drama|mystery|thriller,bruce willis,the sixth sense,olivia williams,english
asger leth,mandy gonzalez,action|crime|thriller,robert clohessy,man on a ledge,j. smith-cameron,english
david frankel,kevin pollak,comedy,joel mchale,the big year,jobeth williams,english
john g. avildsen,william zabka,action|drama|family|sport,martin kove,the karate kid,william bassett,english
david o. russell,christian bale,crime|drama,jennifer lawrence,american hustle,bradley cooper,english
anne fletcher,denis o'hare,comedy|drama|romance,ryan reynolds,the proposal,craig t. nelson,english
bruce beresford,annabeth gish,crime|mystery|thriller,bruce greenwood,double jeopardy,bruce campbell,english
robert zemeckis,jeffrey weissman,adventure|comedy|sci-fi,lea thompson,back to the future part ii,thomas f. wilson,english
luc besson,morgan freeman,action|sci-fi|thriller,scarlett johansson,lucy,amr waked,english
sam taylor-johnson,luke grimes,drama|romance,jennifer ehle,fifty shades of grey,callum rennie,english
robert rodriguez,salma hayek,action|adventure|comedy|family|sci-fi,sylvester stallone,spy kids 3-d: game over,alexa penavega,english
joel schumacher,matthew mcconaughey,crime|drama|thriller,kevin spacey,a time to kill,oliver platt,english
